uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status,points
1,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.38380183098315873, 0.5141156157312904, 0.5812424629926276], [-0.3724558244244537, 0.5141058225827184, 0.6008977764079528]]"
2,face_front,7,0.10,FALSE,0,face_front,7,bus,done,"[[-0.3622693844402274, 0.6141666954567463, 0.5832543448070219], [-0.3724558244244537, 0.5141058225827184, 0.6008977764079528]]"
3,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[-0.3622693844402274, 0.6141666954567463, 0.5832543448070219], [-0.368500586228371, 0.6141720738323516, 0.5724596900122796]]"
4,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[-0.3685005862283711, 0.6141720738323515, 0.5724596900122796], [-0.3908139714240875, 0.5641565007426662, 0.5514499631470593]]"
5,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[-0.3908139714240875, 0.5641565007426663, 0.5514499631470593], [-0.38380183098315873, 0.5141156157312905, 0.5812424629926275]]"
6,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[-0.38039525382107087, 0.6735025467636305, 0.5309343950906263], [-0.40972077945771573, 0.6735278586853206, 0.48013216837983813]]"
7,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[-0.40972077945771573, 0.6735278586853206, 0.48013216837983813], [-0.43203416465343186, 0.6235122855956352, 0.4591224415146184]]"
8,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[-0.4320341646534318, 0.623512285595635, 0.4591224415146184], [-0.42502202421250296, 0.5734714005842594, 0.4889149413601858]]"
9,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[-0.425022024212503, 0.5734714005842594, 0.4889149413601858], [-0.39569649857585787, 0.573446088662569, 0.5397171680709744]]"
10,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[-0.3733831133801415, 0.6234616617522543, 0.5607268949361943], [-0.3803952538210708, 0.6735025467636305, 0.5309343950906263]]"
