uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status,points
1,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[0.3994029817065977, 1.5348462321771743, 0.19425578185390427], [0.3969433645902384, 1.5331331313276664, 0.19912009546749096]]"
2,face_front,13,0.20,FALSE,0,face_front,13,bus,done,"[[0.32337951507782564, 1.7112520685073782, 0.2637220716235415], [0.3994029817065977, 1.5348462321771743, 0.19425578185390427]]"
3,face_front,9,0.14,FALSE,0,face_front,9,bus,done,"[[0.2508297755107824, 1.7144110235907304, 0.3882678886054682], [0.32337951507782564, 1.7112520685073782, 0.2637220716235415]]"
4,face_front,4,0.05,FALSE,0,face_front,4,bus,done,"[[0.2508297755107824, 1.7144110235907304, 0.3882678886054682], [0.25605072716575555, 1.6622886450960817, 0.39760609832980437]]"
5,face_front,8,0.12,FALSE,0,face_front,8,bus,done,"[[0.25605072716575555, 1.6622886450960817, 0.39760609832980426], [0.3161729982187493, 1.6596708058744287, 0.29439446157146015]]"
6,face_front,11,0.18,FALSE,0,face_front,11,bus,done,"[[0.3161729982187493, 1.6596708058744287, 0.2943944615714602], [0.39694336459023843, 1.5331331313276664, 0.19912009546749096]]"
7,face_front,9,0.14,FALSE,0,face_front,9,bus,done,"[[0.33657331066026347, 1.4525522884359015, 0.33210124958997633], [0.3878358010771732, 1.3336021419170405, 0.28526025204637717]]"
8,face_front,8,0.12,FALSE,0,face_front,8,bus,done,"[[0.27665409165444044, 1.4551612863812446, 0.4349643077971547], [0.33657331066026347, 1.4525522884359017, 0.3321012495899764]]"
9,face_front,4,0.05,FALSE,0,face_front,4,bus,done,"[[0.2713466822943261, 1.5072956938970383, 0.42577160512887], [0.2766540916544405, 1.4551612863812442, 0.4349643077971547]]"
10,face_front,9,0.14,FALSE,0,face_front,9,bus,done,"[[0.2713466822943261, 1.5072956938970383, 0.42577160512887], [0.34389532633940645, 1.5041367865148758, 0.3012276688246304]]"
11,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[0.41795371169743817, 1.3322907502095043, 0.23355696811489154], [0.38783580107717325, 1.3336021419170407, 0.2852602520463773]]"
12,face_front,12,0.20,FALSE,0,face_front,12,bus,done,"[[0.34389532633940645, 1.5041367865148758, 0.3012276688246304], [0.41795371169743817, 1.332290750209504, 0.2335569681148915]]"
13,face_front,7,0.10,FALSE,0,face_front,7,bus,done,"[[0.3311286098104017, 1.4180420243684904, 0.3537019294268673], [0.2801092812011762, 1.4212211382503022, 0.44094887164188173]]"
14,face_front,10,0.17,FALSE,0,face_front,10,bus,done,"[[0.2965760765202191, 1.2594686598954667, 0.4694701977723013], [0.2801092812011762, 1.4212211382503026, 0.4409488716418818]]"
15,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.2965760765202191, 1.2594686598954667, 0.4694701977723013], [0.30293494956211314, 1.2444925596870686, 0.4637376876499293]]"
16,face_front,7,0.10,FALSE,0,face_front,7,bus,done,"[[0.30293494956211314, 1.2444925596870684, 0.4637376876499293], [0.3552608779676414, 1.24123202902335, 0.3742563601532246]]"
17,face_front,7,0.10,FALSE,0,face_front,7,bus,done,"[[0.36935770809178564, 1.328006761364061, 0.3192384810416936], [0.33112860981040165, 1.4180420243684904, 0.3537019294268673]]"
18,face_front,7,0.10,FALSE,0,face_front,7,bus,done,"[[0.35526087796764133, 1.24123202902335, 0.3742563601532246], [0.36935770809178564, 1.328006761364061, 0.3192384810416936]]"
19,face_front,4,0.05,FALSE,0,face_front,4,bus,done,"[[0.3018286757748634, 1.207872649209592, 0.4785679665531433], [0.3068941022146571, 1.1581152273988495, 0.48734154250886896]]"
20,face_front,11,0.17,FALSE,0,face_front,11,bus,done,"[[0.39340262266907516, 1.154025839493173, 0.3389465286389131], [0.3068941022146571, 1.1581152273988495, 0.48734154250886896]]"
21,face_front,12,0.20,FALSE,0,face_front,12,bus,done,"[[0.4190507998302327, 1.3187685523782888, 0.23642541236075268], [0.39340262266907516, 1.154025839493173, 0.3389465286389131]]"
22,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[0.4190507998302327, 1.3187685523782888, 0.23642541236075268], [0.390236606633802, 1.320023177723771, 0.28589061035789726]]"
23,face_front,9,0.14,FALSE,0,face_front,9,bus,done,"[[0.37193566518145504, 1.202473040563255, 0.3590432923144648], [0.3018286757748634, 1.207872649209592, 0.47856796655314343]]"
24,face_front,9,0.14,FALSE,0,face_front,9,bus,done,"[[0.390236606633802, 1.320023177723771, 0.28589061035789726], [0.37193566518145504, 1.202473040563255, 0.3590432923144648]]"
25,face_front,17,0.27,FALSE,0,face_front,17,bus,done,"[[0.33158947448592563, 0.9386654939437298, 0.521957720858042], [0.4473476579837153, 1.0254841315670717, 0.29084172916529666]]"
26,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.4473476579837153, 1.0254841315670717, 0.29084172916529666], [0.44174645555640313, 1.0562907449172898, 0.28967922211708524]]"
27,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[0.3287888732722691, 0.9760068434591455, 0.5136399296205687], [0.33158947448592563, 0.9386654939437297, 0.521957720858042]]"
28,face_front,16,0.26,FALSE,0,face_front,16,bus,done,"[[0.44174645555640313, 1.0562907449172898, 0.28967922211708524], [0.3287888732722691, 0.9760068434591455, 0.5136399296205687]]"
29,face_front,15,0.24,FALSE,0,face_front,15,bus,done,"[[0.3341816557898294, 0.9083522843932027, 0.5281580045685055], [0.43521171939120434, 0.979740978410688, 0.3279932955733615]]"
30,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.4352117193912044, 0.979740978410688, 0.32799329557336143], [0.43894585434274547, 0.9480008313225841, 0.33271887272154954]]"
31,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[0.339602796441286, 0.8712366887611495, 0.5318572753551981], [0.3341816557898294, 0.9083522843932026, 0.5281580045685055]]"
32,face_front,15,0.24,FALSE,0,face_front,15,bus,done,"[[0.43894585434274547, 0.9480008313225841, 0.33271887272154965], [0.33960279644128605, 0.8712366887611496, 0.5318572753551981]]"
33,face_front,6,0.10,FALSE,0,face_front,6,bus,done,"[[0.35078569285339145, 0.7269704036977329, 0.5633640075201705], [0.3605445601801347, 0.6311095549136779, 0.5802668615544135]]"
34,face_front,4,0.05,FALSE,0,face_front,4,bus,done,"[[0.35078569285339145, 0.7269704036977329, 0.5633640075201705], [0.3712258832096255, 0.6811536069292365, 0.5441180341866381]]"
35,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[0.3642137427686965, 0.6311127219178604, 0.5739105340322062], [0.3605445601801346, 0.6311095549136778, 0.5802668615544135]]"
36,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[0.3712258832096255, 0.6811536069292364, 0.5441180341866381], [0.3642137427686965, 0.6311127219178604, 0.5739105340322062]]"
37,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.38380183098315873, 0.5141156157312904, 0.5812424629926276], [0.37245582442445396, 0.5141058225827184, 0.6008977764079529]]"
38,face_front,7,0.10,FALSE,0,face_front,7,bus,done,"[[0.3622693844402277, 0.6141666954567463, 0.5832543448070221], [0.3724558244244539, 0.5141058225827184, 0.6008977764079529]]"
39,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[0.3622693844402277, 0.6141666954567463, 0.5832543448070221], [0.3685005862283715, 0.6141720738323516, 0.5724596900122799]]"
40,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[0.39081397142408775, 0.5641565007426663, 0.5514499631470595], [0.38380183098315873, 0.5141156157312904, 0.5812424629926275]]"
41,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[0.3685005862283715, 0.6141720738323516, 0.5724596900122799], [0.39081397142408775, 0.5641565007426663, 0.5514499631470595]]"
42,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[0.3803952538210703, 0.6735025467636304, 0.530934395090626], [0.4097207794577157, 0.6735278586853205, 0.48013216837983813]]"
43,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[0.40972077945771573, 0.6735278586853206, 0.48013216837983813], [0.4320341646534317, 0.6235122855956351, 0.4591224415146183]]"
44,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[0.4320341646534317, 0.623512285595635, 0.4591224415146183], [0.4250220242125033, 0.5734714005842595, 0.48891494136018593]]"
45,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[0.4250220242125032, 0.5734714005842594, 0.48891494136018593], [0.3956964985758578, 0.573446088662569, 0.5397171680709744]]"
46,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[0.3733831133801418, 0.6234616617522543, 0.5607268949361945], [0.38039525382107037, 0.6735025467636304, 0.530934395090626]]"
47,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[0.39569649857585787, 0.573446088662569, 0.5397171680709744], [0.3733831133801418, 0.6234616617522543, 0.5607268949361945]]"
48,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[0.4687652304763263, 0.6159053642943773, 0.39818498022428417], [0.4910786156720427, 0.5658897912046916, 0.3771752533590636]]"
49,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[0.4910786156720427, 0.5658897912046915, 0.37717525335906366], [0.4840664752311136, 0.5158489061933155, 0.4069677532046318]]"
50,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[0.4840664752311136, 0.5158489061933155, 0.4069677532046318], [0.45474094959446854, 0.5158235942716253, 0.4577699799154202]]"
51,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[0.45474094959446854, 0.5158235942716253, 0.4577699799154202], [0.43242756439875185, 0.5658391673613109, 0.47877970678064]]"
52,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[0.43943970483968103, 0.6158800523726867, 0.4489872069350725], [0.4687652304763264, 0.6159053642943771, 0.39818498022428417]]"
53,face_front,4,0.06,FALSE,0,face_front,4,bus,done,"[[0.43242756439875185, 0.5658391673613109, 0.47877970678064], [0.4394397048396809, 0.6158800523726867, 0.44898720693507244]]"
