uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status,points
1,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.31837154065286155, 0.6898251330957084, 0.5229910900883994], [-0.3139465503545652, 0.7202037867115948, 0.5199422455678929]]"
2,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.3139465503545652, 0.7202037867115948, 0.5199422455678929], [-0.31226006044790383, 0.745777794627228, 0.5138445565719265]]"
3,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.31226006044790383, 0.7457777946272279, 0.5138445565719265], [-0.30843233560495587, 0.775384351443858, 0.510033500932006]]"
4,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.30843233560495587, 0.775384351443858, 0.510033500932006], [-0.3066727380983065, 0.7991560684039084, 0.5046980230587503]]"
5,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.3066727380983065, 0.7991560684039084, 0.5046980230587503], [-0.30309284014046683, 0.8297067869245075, 0.5001247562972178]]"
6,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.3030928401404669, 0.8297067869245077, 0.5001247562972178], [-0.2999639924379999, 0.8558808267346854, 0.49631370066169217]]"
7,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.29996399243799987, 0.8558808267346854, 0.4963137006616921], [-0.29666042545041305, 0.8829129957964754, 0.49250264502506724]]"
8,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.29666042545041305, 0.8829129957964753, 0.49250264502506724], [-0.29579052379906345, 0.9131217797795993, 0.4833561115415559]]"
9,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.29579052379906345, 0.9131217797795995, 0.4833561115415559], [-0.29368148772217345, 0.9386097552428767, 0.4780206336661028]]"
10,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.29368148772217345, 0.9386097552428765, 0.4780206336661028], [-0.28970754767925017, 0.9646117301483408, 0.4757340002716029]]"
11,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.28970754767925017, 0.9646117301483406, 0.4757340002716029], [-0.28675341926190406, 0.9899276407069046, 0.47192294463717505]]"
12,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.28675341926190406, 0.989927640706905, 0.47192294463717505], [-0.28429494461477317, 1.0171318746734075, 0.4665874667595255]]"
13,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.28429494461477317, 1.0171318746734075, 0.46658746675952545], [-0.2800446736015979, 1.046652399037681, 0.4635386222401162]]"
14,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.2800446736015979, 1.0466523990376808, 0.46353862224011627], [-0.2782565720098034, 1.0748868271605099, 0.45667872212034183]]"
15,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.2782565720098034, 1.0748868271605099, 0.45667872212034183], [-0.2749530050222165, 1.1019189962223006, 0.45286766648371696]]"
16,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.2749530050222165, 1.1019189962223006, 0.45286766648371696], [-0.27179565323460475, 1.1325557471952563, 0.44753218860167204]]"
17,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.2717956532346048, 1.132555747195256, 0.44753218860167204], [-0.26884152481725854, 1.1578716577538197, 0.44372113296724464]]"
18,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.26884152481725854, 1.1578716577538197, 0.44372113296724464], [-0.2658588923147667, 1.1876502794751627, 0.4383856550862989]]"
19,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.26585889231476667, 1.1876502794751627, 0.4383856550862989], [-0.26290476389742123, 1.2129661900337265, 0.43457459945187005]]"
20,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.26290476389742123, 1.2129661900337265, 0.43457459945187005], [-0.25995063548007463, 1.2382821005922906, 0.43076354381744314]]"
21,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.2599506354800746, 1.2382821005922906, 0.43076354381744314], [-0.2579147070031722, 1.2655723670111498, 0.42466585481928026]]"
22,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.2579147070031722, 1.2655723670111498, 0.42466585481928026], [-0.25426170144534477, 1.2943207945761668, 0.420854799180458]]"
23,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.25426170144534477, 1.2943207945761668, 0.420854799180458], [-0.2508850268577704, 1.3195506726823745, 0.41780595466654297]]"
24,face_front,3,0.03,FALSE,0,face_front,3,bus,done,"[[-0.2508850268577704, 1.3195506726823745, 0.4178059546665429], [-0.24906842118083083, 1.352247811967982, 0.4094216323002496]]"
25,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.24906842118083083, 1.352247811967982, 0.4094216323002496], [-0.24730882367418186, 1.376019528928032, 0.4040861544269935]]"
26,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.24730882367418186, 1.3760195289280321, 0.4040861544269936], [-0.2431601643461382, 1.4028796330851099, 0.40179952103139494]]"
27,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.2431601643461382, 1.4028796330851097, 0.4017995210313948], [-0.24122584755436885, 1.4275094792967733, 0.39646404315704004]]"
28,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.24122584755436882, 1.4275094792967735, 0.39646404315704004], [-0.23782066888164916, 1.4572020685657594, 0.3918907763966067]]"
29,face_front,3,0.05,FALSE,0,face_front,3,bus,done,"[[-0.2378206688816492, 1.4572020685657594, 0.3918907763966067], [-0.2615477196748943, 1.4552662794944196, 0.35147698259341437]]"
30,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.2615477196748943, 1.4552662794944191, 0.35147698259341437], [-0.2651790634446879, 1.4246133719358425, 0.35599717996386226]]"
