uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status,points
1,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[0.26233505727801065, 1.282993788820919, 0.4326217489766431], [0.25052180567961274, 1.2767294447948245, 0.43372632184488347]]"
2,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[0.25052180567961274, 1.2767294447948245, 0.4337263218448834], [0.24260303263013727, 1.2673968506335003, 0.4353719099955271]]"
3,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[0.24260303263013727, 1.2673968506335003, 0.4353719099955271], [0.23702094671001525, 1.2546124750700427, 0.43762614033887476]]"
4,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[0.23702094671001525, 1.2546124750700427, 0.43762614033887476], [0.2506516216312436, 1.2535897250249664, 0.4378064787663425]]"
5,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[0.2506516216312436, 1.2535897250249661, 0.4378064787663425], [0.25597407564810415, 1.2652235067877131, 0.4357551291538961]]"
6,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[0.25597407564810415, 1.2652235067877131, 0.4357551291538961], [0.2673978793916098, 1.2702094132574613, 0.43487597931999056]]"
7,face_front,1,0.02,FALSE,0,face_front,1,bus,done,"[[0.2673978793916098, 1.2702094132574613, 0.4348759793199906], [0.2646717444073642, 1.2544846313144082, 0.4376486826423081]]"
8,face_front,3,0.03,FALSE,0,face_front,3,bus,done,"[[0.2646717444073642, 1.2544846313144082, 0.4376486826423081], [0.27090291008564005, 1.2215009423606873, 0.44346459692814494]]"
9,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[0.27090291008564, 1.2215009423606875, 0.44346459692814494], [0.2737841188243306, 1.2075472695766032, 0.4459250059199564]]"
10,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[0.2737841188243306, 1.207547269576603, 0.4459250059199564], [0.2722631379822034, 1.1936919376152155, 0.4483680747714213]]"
11,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[0.2722631379822034, 1.1936919376152155, 0.4483680747714213], [0.2600952912451855, 1.1974366219291042, 0.4477077858926469]]"
12,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[0.2600952912451855, 1.1974366219291042, 0.4477077858926469], [0.261045904271515, 1.211104719674797, 0.44529773148512075]]"
13,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[0.261045904271515, 1.211104719674797, 0.44529773148512075], [0.25591259392933546, 1.2232749436949346, 0.44315179262910426]]"
14,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.25591259392933546, 1.2232749436949346, 0.4431517926291043], [0.24773732190290162, 1.206611098498131, 0.44609007813964996]]"
15,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[0.24773732190290162, 1.206611098498131, 0.44609007813964996], [0.23975217248173356, 1.2169089803613242, 0.4442742837230206]]"
16,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.23975217248173358, 1.2169089803613242, 0.4442742837230206], [0.21978929892881355, 1.201181306242993, 0.44704749701387264]]"
17,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[0.2197892989288135, 1.201181306242993, 0.44704749701387264], [0.21294488513924092, 1.2126025934003524, 0.44503361593361107]]"
18,face_front,1,0.01,FALSE,0,face_front,1,bus,done,"[[0.21294488513924098, 1.2126025934003524, 0.44503361593361107], [0.20705108437599784, 1.22477281742049, 0.4428876770775945]]"
