uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status,points
1,face_front,15,1.01,FALSE,0,face_front,15,bus,done,"[[-0.19658188331718798, 0.009219308743886784, 0.0], [-0.17955072491978655, 0.06457057353544116, 0.0], [0.1591927859095725, 0.007734310278067369, 0.0], [0.1418442235062936, 0.05878943002790876, 0.0], [0.11499221514131795, 0.13781226031951074, 0.0], [0.09350115385500636, 0.19912496959699016, 0.0], [0.07235581200399686, 0.26328701824337314, 0.0], [0.04853190743997839, 0.3333984356709559, 0.0], [0.023669270836489995, 0.40656673974023017, 0.0], [0.007238239538015528, 0.4549216553266913, 0.0], [-0.05944269975324737, 0.4549216553266913, 0.0], [-0.08319426119394784, 0.3777290806444153, 0.0], [-0.09994923864436438, 0.32327540393056187, 0.0], [-0.1190977843019833, 0.2610426305433007, 0.0], [-0.1364971839620312, 0.20449458164814524, 0.0], [-0.15991119091197226, 0.12839905906083718, 0.0]]"
2,face_front,14,1.01,FALSE,0,face_front,14,bus,done,"[[-0.19658188331718798, 0.009219308743886784, 0.0], [-0.17955072491978655, 0.06457057353544116, 0.0], [0.1591927859095725, 0.007734310278067369, 0.0], [0.1418442235062936, 0.05878943002790876, 0.0], [0.11499221514131795, 0.13781226031951074, 0.0], [0.09350115385500636, 0.19912496959699016, 0.0], [0.07235581200399686, 0.26328701824337314, 0.0], [0.04853190743997839, 0.3333984356709559, 0.0], [0.023669270836489995, 0.40656673974023017, 0.0], [0.007238239538015528, 0.4549216553266913, 0.0], [-0.05944269975324737, 0.4549216553266913, 0.0], [-0.08319426119394784, 0.3777290806444153, 0.0], [-0.09994923864436438, 0.32327540393056187, 0.0], [-0.1190977843019833, 0.2610426305433007, 0.0], [-0.1364971839620312, 0.20449458164814524, 0.0], [-0.15991119091197226, 0.12839905906083718, 0.0]]"
3,face_front,14,1.01,FALSE,0,face_front,14,bus,done,"[[-0.19658188331718798, 0.009219308743886784, 0.0], [-0.17955072491978655, 0.06457057353544116, 0.0], [0.1591927859095725, 0.007734310278067369, 0.0], [0.1418442235062936, 0.05878943002790876, 0.0], [0.11499221514131795, 0.13781226031951074, 0.0], [0.09350115385500636, 0.19912496959699016, 0.0], [0.07235581200399686, 0.26328701824337314, 0.0], [0.04853190743997839, 0.3333984356709559, 0.0], [0.023669270836489995, 0.40656673974023017, 0.0], [0.007238239538015528, 0.4549216553266913, 0.0], [-0.05944269975324737, 0.4549216553266913, 0.0], [-0.08319426119394784, 0.3777290806444153, 0.0], [-0.09994923864436438, 0.32327540393056187, 0.0], [-0.1190977843019833, 0.2610426305433007, 0.0], [-0.1364971839620312, 0.20449458164814524, 0.0], [-0.15991119091197226, 0.12839905906083718, 0.0]]"
4,face_front,14,1.01,FALSE,0,face_front,14,bus,done,"[[-0.19658188331718798, 0.009219308743886784, 0.0], [-0.17955072491978655, 0.06457057353544116, 0.0], [0.1591927859095725, 0.007734310278067369, 0.0], [0.1418442235062936, 0.05878943002790876, 0.0], [0.11499221514131795, 0.13781226031951074, 0.0], [0.09350115385500636, 0.19912496959699016, 0.0], [0.07235581200399686, 0.26328701824337314, 0.0], [0.04853190743997839, 0.3333984356709559, 0.0], [0.023669270836489995, 0.40656673974023017, 0.0], [0.007238239538015528, 0.4549216553266913, 0.0], [-0.05944269975324737, 0.4549216553266913, 0.0], [-0.08319426119394784, 0.3777290806444153, 0.0], [-0.09994923864436438, 0.32327540393056187, 0.0], [-0.1190977843019833, 0.2610426305433007, 0.0], [-0.1364971839620312, 0.20449458164814524, 0.0], [-0.15991119091197226, 0.12839905906083718, 0.0]]"
5,face_front,14,1.01,FALSE,0,face_front,14,bus,done,"[[-0.19658188331718798, 0.009219308743886784, 0.0], [-0.17955072491978655, 0.06457057353544116, 0.0], [0.1591927859095725, 0.007734310278067369, 0.0], [0.1418442235062936, 0.05878943002790876, 0.0], [0.11499221514131795, 0.13781226031951074, 0.0], [0.09350115385500636, 0.19912496959699016, 0.0], [0.07235581200399686, 0.26328701824337314, 0.0], [0.04853190743997839, 0.3333984356709559, 0.0], [0.023669270836489995, 0.40656673974023017, 0.0], [0.007238239538015528, 0.4549216553266913, 0.0], [-0.05944269975324737, 0.4549216553266913, 0.0], [-0.08319426119394784, 0.3777290806444153, 0.0], [-0.09994923864436438, 0.32327540393056187, 0.0], [-0.1190977843019833, 0.2610426305433007, 0.0], [-0.1364971839620312, 0.20449458164814524, 0.0], [-0.15991119091197226, 0.12839905906083718, 0.0]]"
6,face_front,17,1.01,FALSE,0,face_front,17,bus,done,"[[-0.19658188331718798, 0.009219308743886784, 0.0], [-0.17955072491978655, 0.06457057353544116, 0.0], [0.1591927859095725, 0.007734310278067369, 0.0], [0.1418442235062936, 0.05878943002790876, 0.0], [0.11499221514131795, 0.13781226031951074, 0.0], [0.09350115385500636, 0.19912496959699016, 0.0], [0.07235581200399686, 0.26328701824337314, 0.0], [0.04853190743997839, 0.3333984356709559, 0.0], [0.023669270836489995, 0.40656673974023017, 0.0], [0.007238239538015528, 0.4549216553266913, 0.0], [-0.05944269975324737, 0.4549216553266913, 0.0], [-0.08319426119394784, 0.3777290806444153, 0.0], [-0.09994923864436438, 0.32327540393056187, 0.0], [-0.1190977843019833, 0.2610426305433007, 0.0], [-0.1364971839620312, 0.20449458164814524, 0.0], [-0.15991119091197226, 0.12839905906083718, 0.0]]"
