uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status,points
1,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.17954852147486464, 0.43346864953463493, 0.5824159518229316], [0.1615874667598848, 0.42075526589343065, 0.5846576643749736]]"
2,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.1615874667598848, 0.42075526589343054, 0.5846576643749736], [0.14474897796459124, 0.3986450334739448, 0.5885562949002638]]"
3,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.14474897796459124, 0.3986450334739448, 0.5885562949002638], [0.13296203580788574, 0.3748765336229974, 0.592747322714951]]"
4,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.13296203580788574, 0.37487653362299744, 0.592747322714951], [0.12622664028976838, 0.3488970105301018, 0.5973282135821671]]"
5,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.12622664028976835, 0.3488970105301017, 0.5973282135821671], [0.0981624922976124, 0.3477914989091274, 0.5975231451084317]]"
6,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.0981624922976124, 0.34779149890912747, 0.5975231451084317], [0.10882686853463158, 0.37542928943348464, 0.5926498569518188]]"
7,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.1088268685346316, 0.3754292894334846, 0.5926498569518188], [0.11949124477165085, 0.39975054509491903, 0.5883613633739994]]"
8,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.11949124477165084, 0.39975054509491914, 0.5883613633739994], [0.1357684506071013, 0.42075526589343054, 0.5846576643749736]]"
9,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[0.1357684506071013, 0.42075526589343054, 0.5846576643749736], [0.11275584925353338, 0.4185442426514819, 0.5850475274275027]]"
10,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.11275584925353338, 0.4185442426514819, 0.5850475274275027], [0.09367222861886729, 0.4014088125263804, 0.5880689660846027]]"
11,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.09367222861886729, 0.4014088125263804, 0.5880689660846027], [0.08188528646216188, 0.3765348010544591, 0.5924549254255542]]"
12,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.08188528646216188, 0.3765348010544591, 0.5924549254255542], [0.07290475910467194, 0.3505552779615631, 0.5970358162927704]]"
13,face_front,9,0.15,FALSE,0,face_front,9,bus,done,"[[0.07290475910467194, 0.3505552779615631, 0.5970358162927704], [-0.07561806897163692, 0.35240185774006266, 0.5967102144557902]]"
14,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.07561806897163692, 0.35240185774006266, 0.5967102144557902], [-0.08317230217636251, 0.3769083386796072, 0.5923890606639308]]"
15,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.08317230217636251, 0.37690833867960727, 0.5923890606639308], [-0.09294836867659566, 0.4001019724259618, 0.5882993972537781]]"
16,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.09294836867659566, 0.4001019724259618, 0.5882993972537781], [-0.11072303504065588, 0.41848183313062015, 0.5850585319098836]]"
17,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.11072303504065588, 0.41848183313062015, 0.5850585319098836], [-0.1200547348817874, 0.3996643566948983, 0.5883765607143471]]"
18,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.1200547348817874, 0.3996643566948983, 0.5883765607143471], [-0.10716810176784378, 0.3751578757553539, 0.5926977145062066]]"
19,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.10716810176784378, 0.3751578757553539, 0.5926977145062065], [-0.0987251352449151, 0.3502137790847461, 0.5970960317586348]]"
20,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.0987251352449151, 0.35021377908474605, 0.5970960317586348], [-0.12627586810920838, 0.3519642420089992, 0.596787377916359]]"
21,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.12627586810920838, 0.3519642420089993, 0.596787377916359], [-0.1333857346548325, 0.37647072294854417, 0.5924662241244996]]"
22,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.1333857346548325, 0.37647072294854417, 0.5924662241244997], [-0.14582800110967462, 0.3966010465774554, 0.5889167049383295]]"
23,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.14582800110967464, 0.3966010465774554, 0.5889167049383295], [-0.13560756795034012, 0.4228579904412534, 0.5842868973041943]]"
24,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.1356075679503401, 0.4228579904412534, 0.5842868973041943], [-0.1622695674964303, 0.42242037471018984, 0.5843640607647632]]"
25,face_front,2,0.02,FALSE,0,face_front,2,bus,done,"[[-0.16226956749643034, 0.42242037471018984, 0.5843640607647632], [-0.18048860051959198, 0.43423599944889885, 0.5822806473294024]]"
26,face_front,9,0.13,FALSE,0,face_front,9,bus,done,"[[-0.18048860051959195, 0.4342359994488988, 0.5822806473294024], [-0.27105881103551793, 0.5312988664349505, 0.5651658450548446]]"
