uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status,points
1,face_front,3,0.03,FALSE,0,face_front,3,bus,done,"[[-0.25627456696126955, 1.1499767871888025, 0.45607623525732693], [-0.25251562162061253, 1.1842187934491137, 0.45003844568004586]]"
2,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.25251562162061253, 1.1842187934491137, 0.450038445680046], [-0.23184142224699822, 1.1684859797619436, 0.45281256521555346]]"
3,face_front,3,0.05,FALSE,0,face_front,3,bus,done,"[[-0.23184142224699822, 1.1684859797619436, 0.4528125652155534], [-0.2000116264597111, 1.2016455678854188, 0.44696563516020477]]"
4,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.18305517004279756, 1.2256919115154548, 0.44272561599084237], [-0.2000116264597111, 1.2016455678854188, 0.4469656351602048]]"
5,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.17491607096267905, 1.25374597908383, 0.4377789269599195], [-0.18305517004279756, 1.2256919115154548, 0.44272561599084237]]"
6,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.16881174665259036, 1.2797961846830355, 0.43318557285977677], [-0.17491607096267908, 1.25374597908383, 0.43777892695991943]]"
7,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.16609871362588421, 1.3118579761897502, 0.42753221396729346], [-0.16881174665259033, 1.2797961846830355, 0.43318557285977677]]"
8,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.169490004909267, 1.3399120437581251, 0.4225855249363707], [-0.16609871362588424, 1.3118579761897502, 0.4275322139672935]]"
9,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.17627258747603236, 1.3706379272853935, 0.41716772266440755], [-0.16949000490926697, 1.3399120437581253, 0.4225855249363707]]"
10,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.19051601086623982, 1.396020178894876, 0.4126921468745249], [-0.17627258747603236, 1.3706379272853935, 0.41716772266440755]]"
11,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.20747246728315347, 1.4220703844940814, 0.4080987927743822], [-0.19051601086623987, 1.396020178894876, 0.4126921468745249]]"
12,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.2251071819567435, 1.448120590093287, 0.4035054386742396], [-0.20747246728315347, 1.4220703844940816, 0.4080987927743822]]"
13,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[-0.22917673149680262, 1.4087113046996171, 0.41045435897958354], [-0.2251071819567435, 1.448120590093287, 0.4035054386742395]]"
14,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.21493330810659522, 1.3853329150593043, 0.41457659983868594], [-0.22917673149680262, 1.408711304699617, 0.41045435897958354]]"
15,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.20408117599977058, 1.359282709460099, 0.41916995393882867], [-0.21493330810659522, 1.3853329150593043, 0.414576599838686]]"
16,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.19594207691965196, 1.333900457850616, 0.42364552972871133], [-0.20408117599977055, 1.359282709460099, 0.41916995393882867]]"
17,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.19594207691965193, 1.3078502522514108, 0.42823888382885394], [-0.19594207691965196, 1.3339004578506164, 0.42364552972871133]]"
18,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.19933336820303463, 1.2784602767035889, 0.43342112948029693], [-0.19594207691965193, 1.3078502522514106, 0.42823888382885394]]"
19,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.20272465948641724, 1.2524100711043833, 0.43801448358043954], [-0.1993333682030346, 1.2784602767035889, 0.4334211294802969]]"
20,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.21968111590333073, 1.2256919115154543, 0.4427256159908424], [-0.20272465948641724, 1.2524100711043835, 0.43801448358043965]]"
21,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[-0.21968111590333073, 1.2256919115154543, 0.4427256159908424], [-0.24952447919709864, 1.244394623227705, 0.4394278233035604]]"
22,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.24952447919709864, 1.244394623227705, 0.4394278233035604], [-0.24206363837365674, 1.2737845987755265, 0.43424557765211735]]"
23,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.24206363837365674, 1.2737845987755265, 0.43424557765211735], [-0.23867234709027407, 1.2998348043747319, 0.42965222355197474]]"
24,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.2386723470902741, 1.2998348043747319, 0.42965222355197474], [-0.23867234709027416, 1.3265529639636606, 0.424941091141572]]"
25,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[-0.23867234709027416, 1.3265529639636606, 0.42494109114157214], [-0.2407071218603038, 1.3546070315320362, 0.41999440211064915]]"
26,face_front,33,0.54,FALSE,0,face_front,33,bus,done,"[[-0.2407071218603038, 1.3546070315320362, 0.41999440211064915], [0.25636575430443503, 1.1499767871888034, 0.456076235257327]]"
27,face_front,3,0.03,FALSE,0,face_front,3,bus,done,"[[0.256365754304435, 1.1499767871888031, 0.45607623525732693], [0.2526068089637778, 1.1842187934491146, 0.45003844568004586]]"
28,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.2526068089637778, 1.1842187934491146, 0.450038445680046], [0.2319326095901636, 1.1684859797619445, 0.45281256521555346]]"
29,face_front,3,0.05,FALSE,0,face_front,3,bus,done,"[[0.2319326095901636, 1.1684859797619445, 0.4528125652155534], [0.20010281380287634, 1.2016455678854194, 0.44696563516020477]]"
30,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.18314635738596274, 1.2256919115154554, 0.44272561599084237], [0.20010281380287634, 1.2016455678854197, 0.4469656351602048]]"
31,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.17500725830584415, 1.2537459790838303, 0.4377789269599195], [0.18314635738596274, 1.2256919115154554, 0.44272561599084237]]"
32,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.1689029339957553, 1.2797961846830361, 0.43318557285977677], [0.1750072583058441, 1.2537459790838303, 0.43777892695991943]]"
33,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.1661899009690491, 1.3118579761897506, 0.42753221396729346], [0.16890293399575534, 1.2797961846830361, 0.43318557285977677]]"
34,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.16958119225243173, 1.3399120437581258, 0.4225855249363707], [0.16618990096904906, 1.3118579761897506, 0.4275322139672935]]"
35,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.17636377481919702, 1.370637927285394, 0.41716772266440755], [0.16958119225243176, 1.339912043758126, 0.4225855249363707]]"
36,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.19060719820940442, 1.3960201788948765, 0.4126921468745249], [0.17636377481919702, 1.370637927285394, 0.41716772266440755]]"
37,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.2075636546263179, 1.422070384494082, 0.4080987927743822], [0.1906071982094044, 1.3960201788948763, 0.4126921468745249]]"
38,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.22519836929990789, 1.4481205900932874, 0.4035054386742396], [0.2075636546263179, 1.422070384494082, 0.4080987927743822]]"
39,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[0.22926791883996714, 1.4087113046996178, 0.41045435897958354], [0.22519836929990789, 1.4481205900932874, 0.4035054386742395]]"
40,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.21502449544975982, 1.385332915059305, 0.41457659983868594], [0.22926791883996714, 1.4087113046996178, 0.41045435897958354]]"
41,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.20417236334293523, 1.3592827094600994, 0.41916995393882867], [0.21502449544975982, 1.385332915059305, 0.414576599838686]]"
42,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.19603326426281675, 1.3339004578506166, 0.42364552972871133], [0.20417236334293526, 1.3592827094600994, 0.41916995393882867]]"
43,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.19603326426281678, 1.3078502522514115, 0.42823888382885394], [0.19603326426281675, 1.3339004578506168, 0.42364552972871133]]"
44,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.1994245555461996, 1.2784602767035897, 0.43342112948029693], [0.19603326426281678, 1.3078502522514115, 0.42823888382885394]]"
45,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.2028158468295823, 1.2524100711043842, 0.43801448358043954], [0.19942455554619962, 1.2784602767035897, 0.4334211294802969]]"
46,face_front,2,0.03,FALSE,0,face_front,2,bus,done,"[[0.21977230324649588, 1.2256919115154552, 0.4427256159908424], [0.2028158468295823, 1.2524100711043842, 0.43801448358043965]]"
47,face_front,3,0.04,FALSE,0,face_front,3,bus,done,"[[0.21977230324649588, 1.2256919115154552, 0.4427256159908424], [0.24961566654026374, 1.2443946232277059, 0.4394278233035604]]"
